,Tokens Jac.,Tokens (stop-words) Jac.,Tokens Dice,Tokens (stop-words) Dice,Lemmas Jac.,Lemmas (stop-words) Jac.,Lemmas (Spacy) Jac.,Lemmas Dice,Lemmas (stop-words) Dice,Lemmas (Spacy) Dice,Stemming Jac.,Stemming Dice,Coref. Tokens Jac.,Coref. Tokens Dice,Coref. Lemmas Jac.,Coref. Lemmas Dice,Unigrams Jac.,Bigrams Jac.,Trigrams Jac.,Fourgrams Jac.,Unigrams (stop-words) Jac.,Bigrams (stop-words) Jac.,Trigrams (stop-words) Jac.,Fourgrams (stop-words) Jac.,Unigrams Dice,Bigrams Dice,Trigrams Dice,Fourgrams Dice,Unigrams (stop-words) Dice,Bigrams (stop-words) Dice,Trigrams (stop-words) Dice,Fourgrams (stop-words) Dice,Char Bigrams Jac.,Char Trigrams Jac.,Char Fourgrams Jac.,Char Bigrams (stop-words) Jac.,Char Trigrams (stop-words) Jac.,Char Fourgrams (stop-words) Jac.,Char Bigrams Dice,Char Trigrams Dice,Char Fourgrams Dice,Char Bigrams (stop-words) Dice,Char Trigrams (stop-words) Dice,Char Fourgrams (stop-words) Dice,Overlap Unigram,Overlap Bigrams,Overlap Trigrams,Overlap Unigrams (stop-words),Overlap Bigrams (stop-words),Overlap Trigrams (stop-words),Longest Common Subsequence,Longest Common Subsequence (stop-words),Longest Common Substring,Longest Common Substring (stop-words),Levenshtein Distance,Vector Space Sentence
0,0.5333333333333333,0.4736842105263158,0.30434782608695654,0.3571428571428571,0.5333333333333333,0.4736842105263158,0.5,0.30434782608695654,0.3571428571428571,0.33333333333333337,0.4736842105263158,0.3571428571428571,0.4736842105263158,0.3571428571428571,0.4736842105263158,0.3571428571428571,0.5333333333333333,0.4,0.34285714285714286,0.32352941176470584,0.4736842105263158,0.4444444444444444,0.4117647058823529,0.375,0.30434782608695654,0.4285714285714286,0.4893617021276596,0.5111111111111111,0.3571428571428571,0.3846153846153846,0.41666666666666663,0.4545454545454546,0.6338028169014085,0.5142857142857142,0.4897959183673469,0.576271186440678,0.4666666666666667,0.43181818181818177,0.22413793103448276,0.3207547169811321,0.34246575342465757,0.26881720430107525,0.36363636363636365,0.39682539682539686,0.30434782608695654,0.4285714285714286,0.4893617021276595,0.3571428571428571,0.3846153846153846,0.41666666666666674,0.7619047619047619,0.75,0.2558139534883721,0.39285714285714285,0.40298507462686567,0.6708203932499369
1,0.38888888888888884,0.5,0.43999999999999995,0.33333333333333337,0.38888888888888884,0.5,0.5,0.43999999999999995,0.33333333333333337,0.33333333333333337,0.5,0.33333333333333337,0.5,0.33333333333333337,0.5,0.33333333333333337,0.38888888888888884,0.1428571428571429,0.04761904761904767,0.0,0.5,0.33333333333333337,0.2727272727272727,0.19999999999999996,0.43999999999999995,0.75,0.9090909090909091,1.0,0.33333333333333337,0.5,0.5714285714285714,0.6666666666666667,0.4915254237288136,0.4385964912280702,0.4390243902439024,0.5294117647058824,0.4528301886792453,0.4390243902439024,0.34090909090909094,0.3902439024390244,0.38983050847457623,0.3076923076923077,0.37662337662337664,0.38983050847457623,0.43999999999999995,0.75,0.9090909090909091,0.33333333333333337,0.5,0.5714285714285714,0.7,0.8571428571428571,0.2641509433962264,0.3409090909090909,0.43820224719101125,0.7745966692414834
2,0.33333333333333337,0.3571428571428571,0.5,0.4736842105263158,0.4,0.3571428571428571,0.3529411764705882,0.4285714285714286,0.4736842105263158,0.4782608695652174,0.3571428571428571,0.4736842105263158,0.3571428571428571,0.4736842105263158,0.3571428571428571,0.4736842105263158,0.33333333333333337,0.1923076923076923,0.07407407407407407,0.038461538461538436,0.3571428571428571,0.0625,0.0,0.0,0.5,0.6774193548387097,0.8620689655172413,0.9259259259259259,0.4736842105263158,0.8823529411764706,1.0,1.0,0.43939393939393945,0.3666666666666667,0.37777777777777777,0.42622950819672134,0.3620689655172413,0.37777777777777777,0.3894736842105263,0.46341463414634143,0.4516129032258065,0.4022988505747126,0.4683544303797469,0.4516129032258065,0.5,0.6774193548387097,0.8620689655172413,0.4736842105263158,0.8823529411764706,1.0,0.42857142857142855,0.5555555555555556,0.15714285714285714,0.1896551724137931,0.6329113924050633,0.7071067811865475
3,0.6071428571428572,0.6111111111111112,0.24444444444444446,0.24137931034482762,0.6071428571428572,0.6111111111111112,0.6666666666666667,0.24444444444444446,0.24137931034482762,0.19999999999999996,0.6111111111111112,0.24137931034482762,0.6111111111111112,0.24137931034482762,0.6111111111111112,0.24137931034482762,0.6071428571428572,0.5925925925925926,0.5769230769230769,0.56,0.6111111111111112,0.5882352941176471,0.5625,0.5333333333333333,0.24444444444444446,0.2558139534883721,0.2682926829268293,0.28205128205128205,0.24137931034482762,0.2592592592592593,0.28,0.30434782608695654,0.7857142857142857,0.7684210526315789,0.775,0.8055555555555556,0.7976190476190477,0.8082191780821918,0.12,0.13095238095238093,0.12676056338028174,0.10769230769230764,0.11258278145695366,0.10606060606060608,0.24444444444444446,0.2558139534883721,0.2682926829268293,0.2413793103448275,0.2592592592592593,0.28,0.5555555555555556,0.9166666666666666,0.19130434782608696,0.24489795918367346,0.6055555555555555,0.7559289460184544
4,0.1923076923076923,0.15000000000000002,0.6774193548387097,0.7391304347826086,0.1923076923076923,0.15000000000000002,0.21739130434782605,0.6774193548387097,0.7391304347826086,0.6428571428571428,0.15000000000000002,0.7391304347826086,0.15000000000000002,0.7391304347826086,0.15000000000000002,0.7391304347826086,0.1923076923076923,0.0357142857142857,0.0,0.0,0.15000000000000002,0.050000000000000044,0.0,0.0,0.6774193548387097,0.9310344827586207,1.0,1.0,0.7391304347826086,0.9047619047619048,1.0,1.0,0.3717948717948718,0.2432432432432432,0.2321428571428571,0.33783783783783783,0.23943661971830987,0.2321428571428571,0.4579439252336449,0.6086956521739131,0.6231884057971014,0.4949494949494949,0.6136363636363636,0.6231884057971014,0.6774193548387096,0.9310344827586207,1.0,0.7391304347826086,0.9047619047619048,1.0,0.35714285714285715,0.2727272727272727,0.11688311688311688,0.13043478260869565,0.6555555555555556,0.0
5,0.1785714285714286,0.1578947368421053,0.696969696969697,0.7272727272727273,0.1785714285714286,0.1578947368421053,0.2272727272727273,0.696969696969697,0.7272727272727273,0.6296296296296297,0.1578947368421053,0.7272727272727273,0.1578947368421053,0.7272727272727273,0.1578947368421053,0.7272727272727273,0.1785714285714286,0.033333333333333326,0.0,0.0,0.1578947368421053,0.0,0.0,0.0,0.696969696969697,0.935483870967742,1.0,1.0,0.7272727272727273,1.0,1.0,1.0,0.359375,0.2142857142857143,0.2195121951219512,0.3389830508474576,0.2264150943396226,0.22499999999999998,0.47126436781609193,0.6470588235294117,0.64,0.49367088607594933,0.6307692307692307,0.6326530612244898,0.696969696969697,0.935483870967742,1.0,0.7272727272727273,1.0,1.0,0.3333333333333333,0.2727272727272727,0.10606060606060606,0.125,0.6395348837209303,0.33333333333333337
6,0.375,0.33333333333333337,0.4545454545454546,0.5,0.375,0.33333333333333337,0.4,0.4545454545454546,0.5,0.4285714285714286,0.33333333333333337,0.5,0.33333333333333337,0.5,0.33333333333333337,0.5,0.375,0.09756097560975607,0.023255813953488413,0.0,0.33333333333333337,0.08333333333333337,0.0,0.0,0.4545454545454546,0.8222222222222222,0.9545454545454546,1.0,0.5,0.8461538461538461,1.0,1.0,0.3980582524271845,0.2946428571428571,0.2471910112359551,0.35051546391752575,0.2524271844660194,0.22352941176470587,0.4305555555555556,0.5448275862068965,0.6036036036036037,0.48091603053435117,0.5968992248062015,0.6346153846153846,0.4545454545454546,0.8222222222222222,0.9545454545454546,0.5,0.8461538461538461,1.0,0.631578947368421,0.5,0.18095238095238095,0.09411764705882353,0.4930555555555556,0.2581988897471611
7,0.52,0.5,0.3157894736842105,0.33333333333333337,0.5833333333333333,0.5,0.6666666666666667,0.26315789473684215,0.33333333333333337,0.19999999999999996,0.5,0.33333333333333337,0.5,0.33333333333333337,0.5,0.33333333333333337,0.52,0.27586206896551724,0.2068965517241379,0.13793103448275867,0.5,0.2941176470588235,0.17647058823529416,0.05882352941176472,0.3157894736842105,0.5675675675675675,0.6571428571428571,0.7575757575757576,0.33333333333333337,0.5454545454545454,0.7,0.8888888888888888,0.6515151515151515,0.5714285714285714,0.5740740740740741,0.6610169491525424,0.5714285714285714,0.5686274509803921,0.21100917431192656,0.2727272727272727,0.2705882352941177,0.20408163265306123,0.2727272727272727,0.275,0.3157894736842106,0.5675675675675675,0.6571428571428571,0.33333333333333337,0.5454545454545454,0.7,0.3333333333333333,0.6363636363636364,0.20689655172413793,0.2727272727272727,0.6666666666666666,0.7071067811865475
8,0.5789473684210527,0.5384615384615384,0.2666666666666667,0.30000000000000004,0.5789473684210527,0.5384615384615384,0.5294117647058824,0.2666666666666667,0.30000000000000004,0.3076923076923077,0.5384615384615384,0.30000000000000004,0.5384615384615384,0.30000000000000004,0.5384615384615384,0.30000000000000004,0.5789473684210527,0.31818181818181823,0.17391304347826086,0.08695652173913049,0.5384615384615384,0.19999999999999996,0.06666666666666665,0.0,0.2666666666666667,0.5172413793103448,0.7037037037037037,0.84,0.30000000000000004,0.6666666666666667,0.875,1.0,0.6231884057971014,0.5970149253731343,0.5818181818181818,0.6101694915254237,0.5862068965517242,0.5714285714285714,0.2321428571428571,0.25233644859813087,0.26436781609195403,0.2421052631578947,0.26086956521739135,0.2727272727272727,0.2666666666666666,0.5172413793103448,0.7037037037037037,0.30000000000000004,0.6666666666666667,0.875,0.7333333333333333,0.7,0.25609756097560976,0.25757575757575757,0.375,0.5163977794943222
9,0.4,0.33333333333333337,0.4285714285714286,0.5,0.4,0.33333333333333337,0.375,0.4285714285714286,0.5,0.4545454545454546,0.33333333333333337,0.5,0.33333333333333337,0.5,0.33333333333333337,0.5,0.4,0.1333333333333333,0.06666666666666665,0.0,0.33333333333333337,0.05555555555555558,0.0,0.0,0.4285714285714286,0.7647058823529411,0.875,1.0,0.5,0.8947368421052632,1.0,1.0,0.42352941176470593,0.345679012345679,0.3278688524590164,0.3783783783783784,0.3380281690140845,0.33333333333333337,0.4049586776859504,0.4862385321100917,0.5061728395061729,0.4509803921568627,0.49473684210526314,0.5,0.4285714285714286,0.7647058823529411,0.875,0.5,0.8947368421052632,1.0,0.5882352941176471,0.5,0.18181818181818182,0.23880597014925373,0.39622641509433965,0.6666666666666667
