,Lesk Jac.,Lesk Dice,Triplet Parser Jac.,Triplet Parser Dice.,Triplet Parser Overlap,Leacock-Chodorow,Path,Wu-Palmer,Lin,WAWO,WWO,Vector Space Sentence IC
0,0.47058823529411764,0.36,0.4411764705882353,0.3877551020408163,0.3877551020408163,1.0,1.0,0.35,1.0,0.755410840835089,0.7251992991892274,0.7772464044980897
1,0.5,0.33333333333333337,0.19999999999999996,0.6666666666666667,0.6666666666666667,1.0,1.0,0.4666666666666667,1.0,0.7872611464968152,0.5998324400508804,0.5997319153307547
2,0.3846153846153846,0.4444444444444444,0.29166666666666663,0.5483870967741935,0.5483870967741935,1.0,1.0,1.0,1.0,0.6888888888888889,0.7215730888495183,0.7709837100042484
3,0.6111111111111112,0.24137931034482762,0.4482758620689655,0.38095238095238093,0.38095238095238093,1.0,1.0,0.6190476190476191,1.0,0.7961089494163424,0.7469712219882642,0.8277295458974255
4,0.25,0.6,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07741935483870968,0.0,0.0
5,0.23076923076923073,0.625,0.03703703703703709,0.9285714285714286,0.9285714285714286,1.0,1.0,1.0,1.0,0.40554709961102653,0.5358255786818481,0.6323399520972338
6,0.36363636363636365,0.4666666666666667,0.17500000000000004,0.7021276595744681,0.7021276595744681,1.0,1.0,1.0,1.0,0.31560756275895097,0.3809006664808959,0.4332424856546717
7,0.6,0.25,0.2222222222222222,0.6363636363636364,0.6363636363636364,1.0,1.0,1.0,1.0,0.6875,0.0,0.0
8,0.5384615384615384,0.30000000000000004,0.4285714285714286,0.4,0.4,1.0,0.9333333333333333,0.6666666666666666,1.0,0.6363636363636364,1.0,1.0000000000000002
9,0.41666666666666663,0.4117647058823529,0.06666666666666665,0.875,0.875,1.0,1.0,0.7222222222222222,1.0,0.7504621072088723,0.694135902229415,0.7880205796637683
10,0.4545454545454546,0.375,0.28205128205128205,0.56,0.56,1.0,1.0,0.8333333333333334,1.0,0.779746835443038,0.4492185345091249,0.4469645746971869
11,0.8571428571428572,0.07692307692307687,0.37142857142857144,0.45833333333333337,0.45833333333333337,1.0,1.0,0.8333333333333334,1.0,0.9356725146198831,0.9999999999999999,1.0
12,0.6923076923076923,0.18181818181818177,0.19444444444444442,0.6744186046511628,0.6744186046511628,1.0,1.0,0.7346938775510204,1.0,0.8926984126984128,0.925789786776788,0.9434138893721088
13,0.7692307692307692,0.13043478260869568,0.5161290322580645,0.3191489361702128,0.3191489361702128,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,0.6,0.25,0.06666666666666665,0.875,0.875,1.0,1.0,1.0,1.0,0.15135135135135136,0.0,0.0
15,0.36363636363636365,0.4666666666666667,0.30434782608695654,0.5333333333333333,0.5333333333333333,1.0,1.0,0.75,1.0,0.8955223880597015,0.87637733693635,0.9308365276590853
16,0.4285714285714286,0.4,0.1875,0.6842105263157895,0.6842105263157894,1.0,1.0,0.7777777777777778,1.0,0.738888888888889,0.7028675567221293,0.763637595431254
